iter	Passed	Remaining
0	86	86787
1	89	44496
2	90	29913
3	91	22721
4	92	18474
5	93	15561
6	95	13488
7	96	11938
8	98	10810
9	99	9827
10	100	9005
11	101	8352
12	103	7822
13	103	7302
14	104	6872
15	105	6504
16	106	6163
17	107	5856
18	108	5581
19	109	5375
20	110	5159
21	111	4960
22	112	4766
23	113	4627
24	115	4496
25	116	4355
26	116	4212
27	117	4079
28	118	3954
29	118	3835
30	119	3728
31	119	3626
32	120	3541
33	121	3460
34	122	3374
35	123	3297
36	123	3220
37	124	3148
38	125	3091
39	126	3025
40	126	2963
41	127	2907
42	128	2851
43	128	2798
44	129	2743
45	129	2690
46	130	2639
47	131	2607
48	132	2564
49	132	2522
50	136	2539
51	137	2500
52	137	2463
53	138	2427
54	139	2393
55	139	2357
56	140	2324
57	141	2291
58	141	2258
59	142	2225
60	142	2194
61	143	2166
62	143	2139
63	144	2112
64	145	2089
65	145	2064
66	146	2038
67	146	2013
68	147	1988
69	148	1972
70	148	1949
71	149	1930
72	150	1911
73	151	1891
74	151	1872
75	152	1853
76	152	1833
77	153	1813
78	153	1794
79	154	1776
80	155	1760
81	156	1748
82	156	1730
83	157	1715
84	157	1699
85	158	1683
86	158	1668
87	159	1652
88	159	1637
89	160	1622
90	161	1610
91	161	1597
92	162	1585
93	163	1573
94	163	1560
95	164	1547
96	164	1535
97	165	1522
98	166	1514
99	166	1502
100	167	1492
101	168	1481
102	169	1471
103	169	1461
104	170	1451
105	170	1440
106	171	1430
107	172	1420
108	172	1409
109	173	1399
110	173	1389
111	174	1383
112	175	1374
113	175	1365
114	176	1357
115	176	1347
116	177	1337
117	177	1327
118	178	1319
119	178	1310
120	179	1303
121	180	1295
122	180	1288
123	181	1281
124	182	1274
125	182	1266
126	182	1257
127	183	1249
128	184	1245
129	185	1238
130	185	1232
131	186	1225
132	187	1219
133	187	1213
134	188	1207
135	188	1200
136	189	1193
137	189	1186
138	190	1179
139	191	1173
140	192	1169
141	192	1162
142	193	1157
143	193	1151
144	194	1146
145	195	1141
146	195	1134
147	196	1128
148	196	1123
149	197	1118
150	198	1113
151	198	1108
152	199	1103
153	200	1098
154	200	1094
155	201	1089
156	201	1083
157	202	1078
158	203	1073
159	204	1074
160	205	1068
161	205	1064
162	206	1059
163	207	1055
164	208	1053
165	208	1048
166	209	1044
167	210	1040
168	210	1035
169	211	1030
170	211	1027
171	212	1023
172	213	1019
173	213	1015
174	214	1010
175	215	1010
176	216	1005
177	216	1001
178	217	997
179	218	994
180	219	991
181	219	988
182	220	984
183	221	980
184	221	976
185	222	972
186	222	968
187	223	964
188	224	961
189	224	959
190	225	955
191	226	951
192	226	948
193	227	944
194	228	941
195	228	937
196	229	934
197	229	931
198	230	928
199	231	924
200	231	921
201	232	917
202	232	914
203	233	912
204	234	911
205	235	907
206	236	904
207	237	902
208	237	899
209	238	896
210	239	893
211	239	890
212	240	887
213	240	884
214	241	881
215	242	879
216	243	877
217	243	874
218	244	871
219	245	868
220	245	865
221	246	865
222	247	862
223	248	860
224	249	857
225	249	855
226	250	852
227	250	849
228	251	846
229	252	844
230	252	841
231	253	839
232	254	837
233	255	835
234	255	832
235	256	830
236	257	827
237	257	824
238	258	821
239	258	819
240	259	816
241	259	813
242	260	811
243	261	809
244	261	806
245	262	804
246	262	801
247	263	799
248	264	796
249	264	794
250	265	792
251	266	789
252	267	790
253	268	789
254	269	787
255	270	784
256	270	782
257	271	780
258	271	777
259	272	775
260	273	773
261	273	771
262	274	769
263	275	767
264	276	767
265	277	765
266	277	762
267	278	760
268	279	758
269	279	756
270	280	754
271	281	752
272	282	752
273	283	750
274	284	749
275	284	746
276	285	744
277	286	743
278	286	741
279	287	738
280	288	738
281	289	736
282	289	734
283	290	731
284	290	729
285	291	727
286	292	725
287	292	724
288	293	722
289	294	720
290	294	718
291	295	716
292	295	714
293	296	713
294	297	711
295	298	709
296	299	707
297	299	706
298	300	704
299	301	702
300	301	700
301	302	699
302	303	697
303	303	695
304	304	693
305	305	691
306	305	690
307	307	689
308	307	688
